object,num_images,mean_neighbor_stab_raw,mean_neighbor_stab_cc,mean_boundary_iou_raw,mean_boundary_iou_cc
apple,11,0.9723849368735897,0.9758352875821477,0.36038686624005506,0.3977516844305885
deer,11,0.9685791943159259,0.9701515796313713,0.3060195884271623,0.3136757175731962
cup1,11,0.9751759159259238,0.975463166139996,0.3460166120331087,0.3496294884804725
frog1,11,0.9683005445918546,0.9703093030380562,0.3201562163866161,0.33604152057321124
