object,num_images,mean_stability_raw,mean_stability_cc
apple,11,0.9723849368735897,0.9758352875821477
deer,11,0.9685791943159259,0.9701515796313713
cup1,11,0.9751759159259238,0.975463166139996
frog1,11,0.9683005445918546,0.9703093030380562
