object,mean_iou_raw_vs_refl,mean_iou_cc_vs_refl,mean_vi_raw_vs_refl,mean_vi_cc_vs_refl,num_images
apple,0.30916520001127096,0.29028216328415857,1.2291770907387378,1.2605015449882524,11
deer,0.2342087582119403,0.23699311081020014,1.5217098200161203,1.466290561361002,11
cup1,0.30097554250789044,0.30363696205129637,1.1839612031702718,1.1812921562494818,11
frog1,0.2327056980400245,0.22462976004002455,1.5873153919856406,1.5775452359861661,11
